Datum;Meeting;611;neue Datenbank;2011;614;Kalkmilchstation;Dauer;Überstunden;Arbeitsort;Bemerkung
Do 01.01 (Neujahr);;;;;;;;;;Feiertag
Fr 02.01;;;;;;;;;Urlaub;
Sa 03.01;;;;;;;;;;
So 04.01;;;;;;;;;;
Mo 05.01;;;;;;;;;Urlaub;
Di 06.01 (Heilige Drei Könige);;;;;;;;;;Feiertag
Mi 07.01;2;;2;;4;;8;0;Büro;
Do 08.01;1;;;;4;3;8;0;Büro;
Fr 09.01;1;;;;4;3;8;0;Büro;
Sa 10.01;;;;;;;;;;
So 11.01;;;;;;;;;;
Mo 12.01;2;;2;2;;2;8;0;Büro;
Di 13.01;6;;;;;2;8;0;Büro;
Mi 14.01;2;;;;;6;8;0;Büro;
Do 15.01;2;;;;;6;8;0;Büro;
Fr 16.01;2;;;;;6;8;0;Büro;
Sa 17.01;;;;;;;;;;
So 18.01;;;;;;;;;;
Mo 19.01;1;;;5;;2;8;0;Büro;Datenbank SQL Server
Di 20.01;1;;;;6;1;8;0;Büro;Abstimmung Umicore IDM's
Mi 21.01;;;;;8;;8;0;Büro;
Do 22.01;;2;;;6;;8;0;Büro;
Fr 23.01;1;2;;;5;;8;0;Büro;
Sa 24.01;;;;;;;;;;
So 25.01;;;;;;;;;;
Mo 26.01;;;;;8;;8;0;Home-Office;Abwasserlexikon
Di 27.01;;;;;;;;;Urlaub;
Mi 28.01;;;;;;;;;Urlaub;
Do 29.01;4;;1;3;;;8;0;Büro;Umicore
Fr 30.01;;;;;8;;8;0;Büro;
Sa 31.01;;;;;;;;;;
Summe;25;4;5;10;53;31;128;0;;
